model;param;initial;lower_limit;upper_limit;provided_initial
tme;local beta_cons_motor= 9.992;9.992;7.992;11.992;9.992
tme;local beta_cons_walk= -6.5;-6.5;-8;8;-6.5
tme;local beta1_1_tt = 0.1;0.1;-15;0;0.1
tme;local beta1_2_tt = -0.690;-0.69;-15;0;-0.69
tme;local beta1_3_tt = -1.06;-1.06;-15;0;-1.06
tme;local beta2_tt_drive1 = -0.736;-0.736;-15;0;-0.736
tme;local beta2_tt_share2 = -2;-2;-15;0;-2
tme;local beta2_tt_share3 = -2;-2;-15;0;-2
tme;local beta2_tt_motor = 0;0;-2;2;0
tme;local beta_tt_walk = -4;-4;-3;3;-4
tme;local beta_cost = 0;0;-2;2;0
tme;local beta_central_bus = -0.330;-0.33;-10;10;-0.33
tme;local beta_central_mrt = 0.502 ;0.502;-1.498;2.502;0.502
tme;local beta_central_share2 = -0.5;-0.5;-10;0;-0.5
tme;local beta_central_share3 = -0.8;-0.8;-10;0;-0.8
tme;local beta_central_motor = 0.136;0.136;-1.864;2.136;0.136
tme;local beta_central_walk = 0.1;0.1;-10;10;0.1
tme;local beta_female_bus = 0.804;0.804;-5;5;0.804
tme;local beta_female_mrt = 0.916;0.916;-1.084;2.916;0.916
tme;local beta_female_drive1 = 0;0;-5;5;0
tme;local beta_female_share2 = 0.877;0.877;-5;5;0.877
tme;local beta_female_share3 = 0.762;0.762;-5;5;0.762
tme;local beta_female_motor = 0;0;-2;2;0
tme;local beta_female_walk = 0.877;0.877;-5;5;0.877
tme;local beta_zero_drive1 = 0;0;-2;2;0
tme;local beta_oneplus_drive1 = 0;0;-2;2;0
tme;local beta_twoplus_drive1 = 0;0;-2;2;0
tme;local beta_threeplus_drive1 = 0;0;-2;2;0
tme;local beta_zero_share2 = 0;0;-2;2;0
tme;local beta_oneplus_share2 = 2.77;2.77;0.77;4.77;2.77
tme;local beta_twoplus_share2 = 2.77;2.77;0.77;4.77;2.77
tme;local beta_threeplus_share2 = 0.140;0.14;-1.86;2.14;0.14
tme;local beta_zero_share3 = 0;0;-2;2;0
tme;local beta_oneplus_share3 = 2.79;2.79;0.79;4.79;2.79
tme;local beta_twoplus_share3 = 0.998;0.998;-1.002;2.998;0.998
tme;local beta_threeplus_share3 = 0;0;-2;2;0
tme;local beta_zero_motor = 0;0;-2;2;0
tme;local beta_oneplus_motor = 0;0;-2;2;0
tme;local beta_twoplus_motor = 0;0;-2;2;0
tme;local beta_threeplus_motor = 0;0;-2;2;0
tme;local beta_transfer = 0;0;-2;2;0
tme;local beta_distance = -0.0116;-0.0116;-2.0116;1.9884;-0.0116
tme;local beta_residence = -0.488;-0.488;-2.488;1.512;-0.488
tme;local beta_residence_2 = 0;0;-2;2;0
tme;local beta_university_student_bus = -0.157;-0.157;-2.157;1.843;-0.157
tme;local beta_university_student_mrt = 0.308;0.308;-1.692;2.308;0.308
tme;local beta_university_student_drive1 = 0;0;-2;2;0
