model,param,module,include,initial,lower_limit,upper_limit,provided_initial
dpt,local beta_workshopother_tt = -3.29,preday,TRUE,-7.811111446,-9.811111446,-5.811111446,-3.29
dpt,local beta_parttime_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_parttime_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_parttime_shop = 0,preday,TRUE,0,0,0,0
dpt,local beta_parttime_others = 0,preday,TRUE,0,0,0,0
dpt,local beta_selfemployed_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_selfemployed_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_selfemployed_shop = 0,preday,TRUE,0,0,0,0
dpt,local beta_selfemployed_others = 0,preday,TRUE,0,0,0,0
dpt,local beta_universitystudent_work = -999,preday,TRUE,-1,-3,1,-999
dpt,local beta_universitystudent_edu = 0,preday,TRUE,3.504999204,1.504999204,5.504999204,0
dpt,local beta_universitystudent_shop = 0,preday,TRUE,-2.025537615,-4.025537615,-0.025537615,0
dpt,local beta_universitystudent_others = 2.59,preday,TRUE,-1.810430017,-3.810430017,0.189569983,2.59
dpt,local beta_homemaker_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_homemaker_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_homemaker_shop = 0,preday,TRUE,0,0,0,0
dpt,local beta_homemaker_others = 0,preday,TRUE,0,0,0,0
dpt,local beta_retired_work = -999,preday,TRUE,-8,-10,10,-999
dpt,local beta_retired_edu = 0,preday,TRUE,0,-2,2,0
dpt,local beta_retired_shop = 4.41,preday,TRUE,4.562238239,2.562238239,6.562238239,4.41
dpt,local beta_retired_others = 7.23,preday,TRUE,5.566346887,3.566346887,7.566346887,7.23
dpt,local beta_unemployed_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_unemployed_edu = 0,preday,TRUE,-1.204414167,-3.204414167,0.795585833,0
dpt,local beta_unemployed_shop = 4.56,preday,TRUE,2.438621669,0.438621669,4.438621669,4.56
dpt,local beta_unemployed_others = 7.41,preday,TRUE,-0.127886772,-2.127886772,1.872113228,7.41
dpt,local beta_nationalservice_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_nationalservice_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_nationalservice_shop = 0,preday,TRUE,0,0,0,0
dpt,local beta_nationalservice_others = 0,preday,TRUE,0,0,0,0
dpt,local beta_voluntary_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_voluntary_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_voluntary_shop = 0,preday,TRUE,0,0,0,0
dpt,local beta_voluntary_others = 0,preday,TRUE,0,0,0,0
dpt,local beta_domestic_work= -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_domestic_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_domestic_shop = 0,preday,TRUE,0,0,0,0
dpt,local beta_domestic_others = 0,preday,TRUE,0,0,0,0
dpt,local beta_otherworker_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_otherworker_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_otherworker_shop = 0,preday,TRUE,0,0,0,0
dpt,local beta_otherworker_others = 0,preday,TRUE,0,0,0,0
dpt,local beta_student16_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_student16_edu = 0,preday,TRUE,-2.211767367,-4.211767367,-0.211767367,0
dpt,local beta_student16_shop = 1.56,preday,TRUE,4.4529962,2.4529962,6.4529962,1.56
dpt,local beta_student16_others = 3.75,preday,TRUE,6.694158639,4.694158639,8.694158639,3.75
dpt,local beta_student515_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_student515_edu = 0,preday,TRUE,0.397979435,-1.602020565,2.397979435,0
dpt,local beta_student515_shop = 0.458,preday,TRUE,0.458,0.458,0.458,0.458
dpt,local beta_student515_others = 4.30,preday,TRUE,4.3,4.3,4.3,4.3
dpt,local beta_child4_work = -999,preday,TRUE,0,-5,5,-999
dpt,local beta_child4_edu = 0,preday,TRUE,3.59097579,1.59097579,5.59097579,0
dpt,local beta_child4_shop = 0,preday,TRUE,0.201832088,-1.798167912,2.201832088,0
dpt,local beta_child4_others = 0,preday,TRUE,3.380498732,1.380498732,5.380498732,0
dpt,local beta_age2025_work = 0.189,preday,TRUE,-0.771003948,-5,5,0.189
dpt,local beta_age2025_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_age2025_shop = -1.05,preday,TRUE,-5.2125495,-7.2125495,-3.2125495,-1.05
dpt,local beta_age2025_others = 0.0439,preday,TRUE,0.0439,0.0439,0.0439,0.0439
dpt,local beta_age2635_work = 0.769,preday,TRUE,0.769,-5,5,0.769
dpt,local beta_age2635_edu = 0,preday,TRUE,6.614025337,4.614025337,8.614025337,0
dpt,local beta_age2635_shop = 0.866,preday,TRUE,-0.311010756,-2.311010756,1.688989244,0.866
dpt,local beta_age2635_others = 0,preday,TRUE,0,0,0,0
dpt,local beta_age5165_work = 0,preday,TRUE,0,-5,5,0
dpt,local beta_age5165_edu = 0,preday,TRUE,-3.167994451,-5.167994451,-1.167994451,0
dpt,local beta_age5165_shop = 0,preday,TRUE,1.088389424,-0.911610576,3.088389424,0
dpt,local beta_age5165_others = 0,preday,TRUE,1.363629203,-0.636370797,3.363629203,0
dpt,local beta_maleage4_work = 0.563,preday,TRUE,7.038249681,-5,5,0.563
dpt,local beta_maleage4_edu = 0,preday,TRUE,0.835858875,-1.164141125,2.835858875,0
dpt,local beta_maleage4_shop = 0.777,preday,TRUE,7.006714927,5.006714927,9.006714927,0.777
dpt,local beta_maleage4_others = 0.910,preday,TRUE,0.91,0.91,0.91,0.91
dpt,local beta_maleage515_work = -0.0965,preday,TRUE,-2.713908965,-5,5,-0.0965
dpt,local beta_maleage515_edu = 0,preday,TRUE,1.278246566,-0.721753434,3.278246566,0
dpt,local beta_maleage515_shop = -0.472,preday,TRUE,7.810321264,5.810321264,9.810321264,-0.472
dpt,local beta_maleage515_others = 0.519,preday,TRUE,-3.195500521,-5.195500521,-1.195500521,0.519
dpt,local beta_femalenone_work = -0.529,preday,TRUE,-1.386321622,-5,5,-0.529
dpt,local beta_femalenone_edu = 0,preday,TRUE,-5.454244514,-7.454244514,-3.454244514,0
dpt,local beta_femalenone_shop = 0.627,preday,TRUE,0.748125348,-1.251874652,2.748125348,0.627
dpt,local beta_femalenone_others = -0.650,preday,TRUE,-0.65,-0.65,-0.65,-0.65
dpt,local beta_femaleage4_work = -1.13,preday,TRUE,0.41699499,-5,5,-1.13
dpt,local beta_femaleage4_edu = 0,preday,TRUE,-3.416642907,-5.416642907,-1.416642907,0
dpt,local beta_femaleage4_shop = 0.553,preday,TRUE,3.674735273,1.674735273,5.674735273,0.553
dpt,local beta_femaleage4_others = -0.149,preday,TRUE,-0.502288171,-2.502288171,1.497711829,-0.149
dpt,local beta_femaleage515_work = -0.531,preday,TRUE,0.379160227,-5,5,-0.531
dpt,local beta_femaleage515_edu = 0,preday,TRUE,4.049099011,2.049099011,6.049099011,0
dpt,local beta_femaleage515_shop = 0.564,preday,TRUE,-5.100951177,-7.100951177,-3.100951177,0.564
dpt,local beta_femaleage515_others = 0.192,preday,TRUE,2.531685455,0.531685455,4.531685455,0.192
dpt,local beta_onlyadults_work = 1,preday,TRUE,2.312410193,-5,5,1
dpt,local beta_onlyadults_edu = 0,preday,TRUE,2,0,4,0
dpt,local beta_onlyadults_shop = -0.354,preday,TRUE,1.676672006,-0.323327994,3.676672006,-0.354
dpt,local beta_onlyadults_others = 0.174,preday,TRUE,-0.168118986,-2.168118986,1.831881014,0.174
dpt,local beta_onlyworkers_work = 1.97,preday,TRUE,-1,-5,5,1.97
dpt,local beta_onlyworkers_edu = 0,preday,TRUE,0,0,0,0
dpt,local beta_onlyworkers_shop = -0.0820,preday,TRUE,-0.082,-0.082,-0.082,-0.082
dpt,local beta_onlyworkers_others = 0.688,preday,TRUE,-7.168498617,-9.168498617,-5.168498617,0.688
dpt,local beta_income_work = 1.51,preday,TRUE,1.51,-5,5,1.51
dpt,local beta_income_edu = 0,preday,TRUE,4.510756942,2.510756942,6.510756942,0
dpt,local beta_income_shop = -0.781,preday,TRUE,-0.778851764,-2.778851764,1.221148236,-0.781
dpt,local beta_income_others = -0.573,preday,TRUE,-0.573,-0.573,-0.573,-0.573
dpt,local beta_missingincome_work = 5.52,preday,TRUE,5.52,-5,5,5.52
dpt,local beta_missingincome_edu = 0,preday,TRUE,-2.450274169,-4.450274169,-0.450274169,0
dpt,local beta_missingincome_shop = -0.550,preday,TRUE,-0.79069455,-2.79069455,1.20930545,-0.55
dpt,local beta_missingincome_others = 2.58,preday,TRUE,2.58,2.58,2.58,2.58
dpt,local beta_workathome_work = -999,preday,TRUE,-999,-999,-999,-999
dpt,local beta_workathome_edu = 0,preday,TRUE,-999,-999,-999,0
dpt,local beta_workathome_shop = 0,preday,TRUE,0,0,0,0
dpt,local beta_workathome_others = 0,preday,TRUE,-999,-999,-999,0
dpt,local beta_zero_car_work = 0,preday,TRUE,-5.162955274,-8,5,0
dpt,local beta_zero_car_edu = 0,preday,TRUE,0.67363948,-1.32636052,2.67363948,0
dpt,local beta_zero_car_shop = 0,preday,TRUE,-4.301566014,-6.301566014,-2.301566014,0
